P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data     6/09/2019  re-evaluated data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peakarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Al,Si,P,S,Cl,Ar,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Zr,Sb,Ba,La,Ce,Pr,Nd,Sm,Yb,Hf,Ta,Pb,Bi,Mo inc,Mo coh,Dt
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000035.spe,106.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,340951,1.56,119,299,18,254,5940,889,3346,2999,3868,435,240,5532,206984,1201,671,823,471,479,2888,799,15020,2165,2768,1285,4,7,0,0,0,6,140,0,0,577,1864,791,229885,47370,0.467
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000036.spe,107.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,346265,1.57,191,394,115,320,5813,930,3892,3110,4702,312,191,4934,182261,1102,440,939,760,558,2137,1125,15311,2501,2905,2319,0,75,0,0,34,0,155,0,0,251,1402,485,236988,49971,0.475
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000037.spe,108.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,361398,1.76,195,405,124,269,5796,849,3770,3123,4276,560,232,5539,209761,1189,489,855,258,351,3044,1145,15583,2084,2587,1949,0,71,0,0,0,77,160,0,0,479,954,483,237395,48118,0.485
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000038.spe,109.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,395228,1.83,112,426,150,337,5840,816,3472,3039,3938,667,205,4828,241640,1197,553,755,89,547,3160,937,15148,2333,2668,2107,0,0,0,6,0,0,158,0,0,8,1381,792,245362,50480,0.506
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000039.spe,110.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,377005,1.56,167,347,74,293,5768,751,3456,2719,3894,386,208,3742,156836,1299,447,919,220,362,2061,1165,16136,2225,2583,1750,35,95,0,35,33,8,95,0,105,449,1070,949,259990,50550,0.504
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000040.spe,111.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,381137,1.37,224,206,105,196,5713,842,2901,2416,3046,252,181,3891,119869,1322,448,846,260,345,1638,1351,18370,2220,2481,2096,51,34,14,0,4,39,87,0,14,173,877,889,270187,51541,0.512
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000041.spe,112.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,386983,1.48,160,322,66,277,5928,868,3476,3018,3903,326,222,3581,129494,1318,588,804,36,550,1459,1333,19198,2383,2647,1838,42,81,8,0,0,0,103,0,0,484,909,971,267368,51354,0.513
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000042.spe,113.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,378918,1.46,119,344,53,289,7171,785,3617,2836,3825,304,224,3827,127668,1247,486,672,35,348,1457,1071,18604,2622,2638,1790,47,111,7,11,0,0,145,0,0,194,877,1274,263656,50989,0.508
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000043.spe,114.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,381809,1.66,164,315,72,260,6485,832,3534,2776,4176,385,286,3556,136447,1344,435,805,0,380,1380,1250,18853,2956,2471,2156,41,79,0,0,14,12,100,0,0,214,1103,957,262448,52244,0.51
P:\carob\llr\Data\2019\2019rc0086 N. Forster\TIN2_XRF\XRF data\L000044.spe,115.15,NaN,1,0.010509,-0.018814,0.009111,0.078997,388505,1.6,216,394,178,284,6029,887,3652,3015,4233,444,187,6482,157681,1371,437,728,328,328,2320,946,17954,2244,2460,1790,0,0,0,31,18,0,85,0,0,372,1484,948,256813,51534,0.513
